DE,bit_pos,SHCOARSE,ABSENT,DE TIME,EGY,MODE,TOF0,TOF1,TOF2,TOF3,CKSM,POS
1446,62385,460400745,0,3997,5,0,856,542,404,66,255,255
1447,62434,460400745,0,3679,5,1,166,65535,98,74,8,255
1448,62483,460400745,0,3212,5,1,164,65535,94,70,6,255
1449,62537,460400745,0,3894,5,0,882,478,500,68,255,255
1450,62566,460400745,13,3790,5,0,65535,65535,526,65535,255,255
1451,62595,460400745,13,3712,5,0,65535,65535,714,65535,255,255
1452,62627,460400745,6,3399,5,1,28,65535,65535,65535,255,3
1453,62676,460400745,0,3887,5,1,170,65535,98,80,8,255
1454,62708,460400745,6,3894,5,1,26,65535,65535,65535,255,2
1455,62739,460400745,10,2890,5,1,65535,470,65535,65535,255,0
1456,62768,460400745,13,4039,5,0,65535,65535,96,65535,255,255
1457,62800,460400745,6,3077,6,1,1338,65535,65535,65535,255,1
1458,62831,460400745,10,3110,6,1,65535,56,65535,65535,255,2
1459,62863,460400745,6,3325,6,1,46,65535,65535,65535,255,3
1460,62892,460400745,13,2794,6,0,65535,65535,478,65535,255,255
1461,62921,460400745,13,3313,6,0,65535,65535,488,65535,255,255
1462,62953,460400745,6,3943,6,1,32,65535,65535,65535,255,2
1463,62982,460400745,13,3865,6,0,65535,65535,420,65535,255,255
1464,63011,460400745,13,3025,6,0,65535,65535,440,65535,255,255
1465,63040,460400745,13,3920,6,0,65535,65535,450,65535,255,255
1466,63094,460400745,0,4013,6,0,838,476,458,68,255,255
1467,63125,460400745,10,3229,6,1,65535,152,65535,65535,255,0
1468,63179,460400745,0,3799,6,0,882,544,434,70,255,255
1469,63210,460400745,10,3693,6,1,65535,48,65535,65535,255,0
1470,63239,460400745,13,2517,6,0,65535,65535,530,65535,255,255
1471,63270,460400745,10,3970,6,1,65535,114,65535,65535,255,1
1472,63324,460400745,0,3416,6,0,788,444,416,46,255,255
1473,63378,460400745,0,3687,6,0,918,498,490,38,255,255
1474,63432,460400745,0,3734,6,0,1340,938,504,68,255,255
1475,63486,460400745,0,3944,6,0,832,494,400,36,255,255
1476,63517,460400745,10,3607,6,1,65535,58,65535,65535,255,1
1477,63549,460400745,6,3999,6,1,748,65535,65535,65535,255,1
1478,63603,460400745,0,3075,6,0,900,504,468,42,255,255
1479,63632,460400745,13,809,6,0,65535,65535,510,65535,255,255
1480,63663,460400745,10,3859,7,1,65535,380,65535,65535,255,0
1481,63692,460400745,13,2888,7,0,65535,65535,102,65535,255,255
1482,63723,460400745,10,3001,7,1,65535,594,65535,65535,255,0
1483,63752,460400745,13,3797,7,0,65535,65535,426,65535,255,255
1484,63784,460400745,6,3659,7,1,38,65535,65535,65535,255,2
1485,63813,460400745,13,3846,7,0,65535,65535,408,65535,255,255
1486,63842,460400745,13,4059,7,0,65535,65535,568,65535,255,255
1487,63873,460400745,10,3991,7,1,65535,148,65535,65535,255,0
1488,63902,460400745,13,3972,7,0,65535,65535,104,65535,255,255
1489,63934,460400745,6,3175,7,1,22,65535,65535,65535,255,2
1490,63966,460400745,6,3392,7,1,250,65535,65535,65535,255,2
1491,63998,460400745,6,3115,7,1,150,65535,65535,65535,255,0
1492,64027,460400745,13,3946,7,0,65535,65535,442,65535,255,255
1493,64056,460400745,13,2607,7,0,65535,65535,490,65535,255,255
1494,64087,460400745,10,3792,7,1,65535,126,65535,65535,255,0
1495,64118,460400745,10,3466,7,1,65535,486,65535,65535,255,0
1496,64150,460400745,6,3954,7,1,32,65535,65535,65535,255,3
1497,64182,460400745,6,3700,7,1,12,65535,65535,65535,255,0
1498,64213,460400745,10,3611,7,1,65535,54,65535,65535,255,0
1499,64244,460400745,10,3151,7,1,65535,130,65535,65535,255,0
1500,64273,460400745,13,4004,7,0,65535,65535,98,65535,255,255
1501,64322,460400745,0,2337,7,1,144,65535,92,66,8,255
1502,64351,460400745,13,3209,1,0,65535,65535,112,65535,255,255
1503,64380,460400745,13,3963,1,0,65535,65535,118,65535,255,255
1504,64409,460400745,13,2151,1,0,65535,65535,106,65535,255,255
1505,64441,460400745,6,4071,1,1,184,65535,65535,65535,255,1
1506,64490,460400745,0,3118,1,1,152,65535,98,68,10,255
1507,64522,460400745,6,3691,1,1,30,65535,65535,65535,255,2
1508,64551,460400745,13,3087,1,0,65535,65535,124,65535,255,255
1509,64580,460400745,13,3655,1,0,65535,65535,106,65535,255,255
1510,64611,460400745,10,3807,1,1,65535,158,65535,65535,255,0
1511,64642,460400745,10,3353,1,1,65535,82,65535,65535,255,2
1512,64674,460400745,6,3782,1,1,560,65535,65535,65535,255,2
1513,64705,460400745,10,3679,1,1,65535,24,65535,65535,255,1
1514,64759,460400745,0,3189,1,0,774,444,424,68,255,255
1515,64790,460400745,10,4092,1,1,65535,146,65535,65535,255,0
1516,64819,460400745,13,4005,1,0,65535,65535,100,65535,255,255
1517,64868,460400745,0,3953,1,1,144,65535,98,66,10,255
1518,64922,460400745,0,3262,1,0,706,404,388,62,255,255
1519,64951,460400745,13,3920,1,0,65535,65535,620,65535,255,255
1520,65000,460400745,0,4036,1,1,142,65535,102,68,16,255
1521,65049,460400745,0,3790,1,1,346,65535,98,56,8,255
1522,65098,460400745,0,3860,1,1,168,65535,100,42,12,255
1523,65130,460400745,6,2677,1,1,186,65535,65535,65535,255,1
1524,65159,460400745,13,3103,1,0,65535,65535,538,65535,255,255
1525,65190,460400745,10,3532,1,1,65535,146,65535,65535,255,0
1526,65221,460400745,10,3952,1,1,65535,122,65535,65535,255,1
1527,65250,460400745,13,3565,1,0,65535,65535,106,65535,255,255
1528,65304,460400745,0,3653,1,0,866,528,430,66,255,255
1529,65358,460400745,0,2365,6,0,104,340,110,42,255,255
